NC_053457.1:12165285-12182065	locus1
NC_053475.1:105948-134973	locus264
NC_053452.1:54992433-55010884	locus265
NC_053452.1:48101409-48116887	locus266
NC_053454.1:62279295-62288854	locus267
NC_053453.1:10849480-10879537	locus268
NC_053451.1:92910684-92923623	locus269
NC_053450.1:55579949-55613828	locus270
NC_053453.1:13312033-13324462	locus271
NC_053454.1:234079-246462	locus272
NC_053457.1:31797908-31807771	locus273
NC_053453.1:37874438-37912867	locus274
NC_053450.1:75385349-75397814	locus275
NC_053465.1:821334-838535	locus276
NC_053450.1:24338848-24370542	locus277
NC_053450.1:111139880-111149444	locus278
NC_053455.1:47428427-47453018	locus279
NC_053464.1:7756957-7767920	locus280
NC_053452.1:63465037-63480620	locus281
NC_053463.1:10982745-10995520	locus282
NC_053452.1:114202653-114217260	locus283
NC_053452.1:52010967-52028876	locus284
NC_053457.1:11522001-11534617	locus285
NC_053453.1:67853726-67866965	locus286
NC_053452.1:85115423-85147498	locus287
NC_053462.1:3304439-3313153	locus288
NC_053450.1:86441089-86451476	locus289
NC_053457.1:24870553-24881833	locus290
NC_053458.1:6373618-6386799	locus291
NC_053450.1:120113142-120140739	locus292
NC_053450.1:62910780-62928437	locus293
NC_053458.1:11072984-11087256	locus294
NC_053450.1:137034026-137051431	locus295
NC_053451.1:30928185-30940442	locus296
NC_053469.1:4773124-4792023	locus297
NC_053451.1:29010481-29028483	locus298
NC_053455.1:20795070-20824638	locus299
NC_053466.1:10116291-10133075	locus300
NC_053454.1:68187660-68214651	locus301
NC_053457.1:6432978-6449325	locus302
NC_053451.1:13106809-13127014	locus303
NC_053451.1:9894368-9934137	locus304
NC_053471.1:6861214-6905498	locus305
NC_053454.1:12054995-12078211	locus306
NC_053451.1:39677143-39703664	locus307
NC_053455.1:29489217-29504641	locus308
NC_053465.1:2890488-2905920	locus309
NC_053470.1:7621719-7636804	locus310
NC_053453.1:10542240-10591733	locus311
NC_053464.1:8314245-8326317	locus312
NC_053454.1:39510781-39529634	locus313
NC_053452.1:45167405-45183939	locus314
NC_053451.1:90996445-91021453	locus315
NC_053472.1:6124072-6134644	locus316
NC_053462.1:7520383-7530760	locus317
NC_053467.1:5161160-5173680	locus318
NC_053450.1:132828116-132850548	locus319
NC_053488.1:16407631-16485858	locus320
NC_053455.1:21770509-21790218	locus321
NC_053488.1:11388256-11441347	locus322
NC_053452.1:85993655-86023408	locus323
NC_053472.1:5808643-5816433	locus324
NC_053477.1:2528790-2537848	locus325
NC_053457.1:30171064-30180915	locus326
NC_053458.1:13100743-13143922	locus327
NC_053453.1:14010607-14021994	locus328
NC_053451.1:15819691-15832034	locus329
NC_053463.1:8466536-8486940	locus330
NC_053450.1:103774572-103789288	locus331
NC_053450.1:72857684-72875083	locus332
NC_053451.1:42543674-42564125	locus333
NC_053455.1:16119264-16140230	locus334
NC_053456.1:1758821-1770402	locus335
NC_053488.1:35045109-35158082	locus336
NC_053454.1:9101846-9115194	locus337
NC_053458.1:27873956-27894342	locus338
NC_053450.1:148397185-148410019	locus339
NC_053450.1:47133424-47152757	locus340
NC_053451.1:23546811-23564492	locus341
NC_053466.1:4258396-4271286	locus342
NC_053452.1:8893832-8903651	locus343
NC_053454.1:41432701-41450832	locus344
NC_053450.1:145796317-145815144	locus345
NC_053451.1:91135163-91144182	locus346
NC_053450.1:120455507-120492077	locus347
NC_053452.1:72575602-72589272	locus348
NC_053473.1:1138748-1150875	locus349
NC_053464.1:14434582-14442432	locus350
NC_053451.1:48012707-48022575	locus351
NC_053468.1:6900027-6910963	locus352
NC_053450.1:107560254-107575773	locus353
NC_053466.1:12099103-12111370	locus354
NC_053452.1:40200176-40224902	locus355
NC_053460.1:4842006-4864047	locus356
NC_053470.1:89333-116606	locus357
NC_053470.1:1024295-1034559	locus358
NC_053453.1:59212078-59221423	locus359
NC_053456.1:18254320-18278162	locus360
NC_053451.1:83758929-83776900	locus361
NC_053453.1:46407696-46424994	locus362
NC_053452.1:24000476-24017862	locus363
NC_053455.1:59317007-59341328	locus364
NC_053457.1:22894751-22911186	locus365
NC_053452.1:41592953-41603974	locus366
NC_053452.1:70214552-70233110	locus367
NC_053450.1:8976376-8995587	locus368
NC_053454.1:26608776-26626258	locus369
NC_053452.1:75497109-75515308	locus370
NC_053454.1:1346541-1355687	locus371
NC_053451.1:1647664-1654616	locus372
NC_053470.1:7858381-7871988	locus373
NC_053455.1:38583072-38595878	locus374
NC_053450.1:103992196-104003014	locus375
NC_053455.1:64198-73782	locus376
NC_053454.1:40480549-40496157	locus377
NC_053451.1:48400043-48411271	locus378
NC_053452.1:4432047-4439911	locus379
NC_053453.1:33427049-33448897	locus380
NC_053461.1:2000147-2011768	locus381
NC_053452.1:51065624-51081517	locus382
NC_053453.1:71970910-71982685	locus383
NC_053458.1:16372788-16383266	locus384
NC_053462.1:12874631-12886228	locus385
NC_053470.1:5107638-5117138	locus386
NC_053459.1:9181039-9193844	locus387
NC_053457.1:22910242-22928223	locus388
NC_053451.1:68811833-68829644	locus389
NC_053450.1:33878790-33890462	locus390
NC_053451.1:43476333-43486905	locus391
NC_053457.1:26482697-26501751	locus392
NC_053455.1:46373613-46389665	locus393
NC_053463.1:5095097-5108246	locus394
NC_053450.1:25269954-25293005	locus395
NC_053452.1:46025357-46038447	locus396
NC_053450.1:152063676-152076003	locus397
NC_053455.1:9801059-9813676	locus398
NC_053463.1:6825500-6842992	locus399
NC_053457.1:15607595-15619890	locus400
NC_053467.1:5058462-5068067	locus401
NC_053471.1:5585868-5600993	locus402
NC_053450.1:121507405-121527811	locus403
NC_053455.1:61601714-61629333	locus404
NC_053450.1:131898903-131909784	locus405
NC_053451.1:112226997-112241916	locus406
NC_053450.1:37561291-37583987	locus407
NC_053455.1:36566276-36618049	locus408
NC_053466.1:10028936-10039943	locus409
NC_053454.1:54275982-54287868	locus410
NC_053462.1:5817103-5832163	locus411
NC_053470.1:7461065-7471448	locus412
NC_053454.1:7704143-7713704	locus413
NC_053474.1:3183802-3204605	locus414
NC_053451.1:61948911-61982997	locus415
NC_053450.1:126591858-126619518	locus416
NC_053456.1:35889446-35903143	locus417
NC_053462.1:18997841-19012472	locus418
NC_053462.1:6745912-6762813	locus419
NC_053450.1:63264331-63283523	locus420
NC_053462.1:16613348-16631411	locus421
NC_053458.1:30537220-30545440	locus422
NC_053465.1:2391595-2404810	locus423
NC_053455.1:1788699-1798684	locus424
NC_053454.1:65295849-65304971	locus425
NC_053453.1:62075051-62092308	locus426
NC_053452.1:8539104-8556498	locus427
NC_053452.1:44330057-44349098	locus428
NC_053462.1:1637794-1655720	locus429
NC_053463.1:11793755-11810002	locus430
NC_053464.1:7945423-7958369	locus431
NC_053472.1:1736347-1748964	locus432
NC_053457.1:32089903-32103918	locus433
NC_053459.1:24018028-24026398	locus434
NC_053453.1:66241152-66255675	locus435
NC_053450.1:124765329-124781978	locus436
NC_053454.1:32314990-32318640	locus437
NC_053455.1:29809235-29827369	locus438
NC_053450.1:69059425-69077528	locus439
NC_053450.1:137171993-137204272	locus440
NC_053454.1:29266071-29295970	locus441
NC_053460.1:18503275-18518923	locus442
NC_053451.1:73488397-73512448	locus443
NC_053459.1:12215356-12228909	locus444
NC_053453.1:69884420-69893961	locus445
NC_053469.1:8142920-8152869	locus446
NC_053450.1:33362515-33379679	locus447
NC_053456.1:1548-54967	locus448
NC_053456.1:1927965-1942248	locus449
NC_053457.1:31822842-31834768	locus450
NC_053454.1:45260186-45279227	locus451
NC_053450.1:123309075-123322359	locus452
NC_053453.1:45701752-45746980	locus453
NC_053451.1:40357990-40390167	locus454
NC_053452.1:19759396-19773470	locus455
NC_053467.1:11826724-11917558	locus456
NC_053476.1:2507125-2514199	locus457
NC_053470.1:3710525-3719190	locus458
NC_053450.1:83918645-83927742	locus459
NC_053458.1:28941393-28956416	locus460
NC_053488.1:83966564-83999476	locus461
NC_053450.1:53684512-53696711	locus462
NC_053453.1:21751850-21790049	locus463
NC_053488.1:89757526-89790238	locus464
NC_053452.1:92928923-92947018	locus465
NC_053488.1:27877155-27949006	locus466
NC_053452.1:108305184-108354251	locus467
NC_053452.1:114254044-114268787	locus468
NC_053450.1:976282-987198	locus469
NC_053461.1:18214076-18221798	locus470
NC_053451.1:38349711-38357659	locus471
NC_053450.1:104008406-104026906	locus472
NC_053488.1:87195085-87246003	locus473
NC_053452.1:80408384-80423781	locus474
NC_053451.1:48405835-48416419	locus475
NC_053451.1:12610950-12638301	locus476
NC_053473.1:5559625-5570989	locus477
NC_053455.1:439021-457003	locus478
NC_053459.1:18370406-18382152	locus479
NC_053464.1:12245315-12254968	locus480
NC_053451.1:91417609-91433937	locus481
NC_053463.1:6185465-6192174	locus482
NC_053455.1:8321154-8333384	locus483
NC_053460.1:1788872-1800813	locus484
NC_053468.1:4618037-4635376	locus485
NC_053455.1:24316471-24337527	locus486
NC_053451.1:84386458-84412488	locus487
NC_053456.1:22358868-22380446	locus488
NC_053466.1:11492673-11501475	locus489
NC_053452.1:33713286-33734354	locus490
NC_053460.1:852166-866110	locus491
NC_053452.1:46047678-46061698	locus492
NC_053473.1:5018304-5029789	locus493
NC_053488.1:5910720-5953128	locus494
NC_053454.1:71303186-71313587	locus495
NC_053452.1:18275719-18287129	locus496
NC_053450.1:108949145-108968138	locus497
NC_053460.1:2164482-2174953	locus498
NC_053456.1:9625432-9638899	locus499
NC_053450.1:148491888-148503252	locus500
NC_053465.1:12824211-12836807	locus501
NC_053452.1:1373843-1380272	locus502
NC_053468.1:5738415-5748973	locus503
NC_053455.1:53739491-53757072	locus504
NC_053470.1:1888923-1899618	locus505
NC_053451.1:78590725-78612469	locus506
NC_053488.1:78932231-78962759	locus507
NC_053450.1:153072916-153086831	locus508
NC_053453.1:3133691-3152956	locus509
NC_053451.1:3502427-3510490	locus510
NC_053452.1:7510554-7532944	locus511
NC_053462.1:15614524-15631320	locus512
NC_053454.1:58728313-58739033	locus513
NC_053452.1:58434347-58442541	locus514
NC_053454.1:566491-582978	locus515
NC_053465.1:14410507-14422294	locus516
NC_053452.1:111139629-111158578	locus517
NC_053470.1:779824-790975	locus518
NC_053450.1:140713781-140731968	locus519
NC_053455.1:15267855-15284817	locus520
NC_053450.1:127327196-127362816	locus521
NC_053457.1:3747810-3759611	locus522
NC_053455.1:24849488-24874398	locus523
NC_053470.1:1859954-1875063	locus524
NC_053459.1:8163488-8180538	locus525
NC_053451.1:46521576-46531549	locus526
NC_053457.1:14785423-14806393	locus527
NC_053452.1:25701720-25724723	locus528
NC_053452.1:84773638-84790393	locus529
NC_053450.1:113552745-113559175	locus530
NC_053468.1:8854104-8863877	locus531
NC_053461.1:15239252-15250976	locus532
NC_053453.1:58773940-58783805	locus533
NC_053450.1:12531294-12551068	locus534
NC_053488.1:86133464-86164575	locus535
NC_053459.1:1697704-1710969	locus536
NC_053453.1:1830355-1840745	locus537
NC_053451.1:111572341-111587384	locus538
NC_053460.1:5750492-5769620	locus539
NC_053451.1:40891997-40903127	locus540
NC_053451.1:52489517-52499570	locus541
NC_053453.1:55012271-55031312	locus542
NC_053451.1:71598418-71637330	locus543
NC_053471.1:2130327-2139716	locus544
NC_053450.1:143386827-143402697	locus545
NC_053459.1:7686106-7708048	locus546
NC_053451.1:43573391-43585699	locus547
NC_053467.1:2650590-2659930	locus548
NC_053450.1:123058103-123071702	locus549
NC_053451.1:48083120-48094923	locus550
NC_053454.1:11049783-11073931	locus551
NC_053450.1:91021469-91035508	locus552
NC_053451.1:18356204-18364564	locus553
NC_053452.1:109757737-109787431	locus554
NC_053471.1:576594-610799	locus555
NC_053465.1:5991393-6000993	locus556
NC_053463.1:3400688-3414721	locus557
NC_053455.1:43080079-43121922	locus558
NC_053465.1:1139158-1147865	locus559
NC_053454.1:65283478-65294257	locus560
NC_053452.1:104159570-104227348	locus561
NC_053455.1:57118414-57127819	locus562
NC_053457.1:32093112-32108444	locus563
NC_053467.1:4395673-4406023	locus564
NC_053455.1:46478269-46489459	locus565
NC_053450.1:66679995-66699661	locus566
NC_053458.1:4394765-4410560	locus567
NC_053455.1:18935082-18970619	locus568
NC_053453.1:55858392-55873974	locus569
NC_053450.1:60558356-60569579	locus570
NC_053461.1:14445624-14458014	locus571
NC_053455.1:8791131-8803217	locus572
NC_053450.1:36187940-36207917	locus573
NC_053458.1:23124006-23140772	locus574
NC_053462.1:12961204-12973128	locus575
NC_053453.1:53724213-53741163	locus576
NC_053452.1:70430067-70439949	locus577
NC_053453.1:25474734-25504803	locus578
NC_053456.1:16148977-16161438	locus579
NC_053455.1:51397573-51409045	locus580
NC_053450.1:65259085-65269248	locus581
NC_053450.1:120946435-120958816	locus582
NC_053462.1:3018520-3027951	locus583
NC_053451.1:47795005-47803280	locus584
NC_053455.1:16348441-16375247	locus585
NC_053488.1:74495075-74535898	locus586
NC_053460.1:20045726-20055971	locus587
NC_053469.1:3287071-3305687	locus588
NC_053452.1:99576031-99598164	locus589
NC_053463.1:10412993-10428534	locus590
NC_053454.1:7564924-7584375	locus591
NC_053461.1:8242386-8264649	locus592
NC_053462.1:16666845-16679570	locus593
NC_053459.1:10216097-10229243	locus594
NC_053451.1:116745552-116761187	locus595
NC_053455.1:22103958-22118447	locus596
NC_053455.1:6325816-6334724	locus597
NC_053473.1:2337642-2347322	locus598
NC_053469.1:6696368-6707206	locus599
NC_053464.1:1898976-1912118	locus600
NC_053460.1:20248423-20257579	locus601
NC_053464.1:14342553-14350106	locus602
NC_053457.1:36012155-36081006	locus603
NC_053468.1:9915382-9925849	locus604
NC_053459.1:18621565-18632075	locus605
NC_053457.1:21646967-21657469	locus606
NC_053478.1:649162-667353	locus607
NC_053454.1:58860738-58887041	locus608
NC_053456.1:18353874-18370711	locus609
NC_053488.1:20071559-20129722	locus610
NC_053455.1:59076993-59084358	locus611
NC_053454.1:37688733-37707226	locus612
NC_053456.1:33063855-33077127	locus613
NC_053461.1:638666-651734	locus614
NC_053457.1:31494303-31517871	locus615
NC_053452.1:69097784-69115070	locus616
NC_053461.1:18103373-18111968	locus617
NC_053455.1:24587781-24613779	locus618
NC_053457.1:16981418-16994283	locus619
NC_053454.1:37814760-37829502	locus620
NC_053465.1:7820729-7832782	locus621
NC_053454.1:7607724-7617174	locus622
NC_053452.1:106698329-106775086	locus623
NC_053454.1:39710244-39725527	locus624
NC_053452.1:51207050-51216283	locus625
NC_053453.1:23738508-23778647	locus626
NC_053457.1:35045239-35055177	locus627
NC_053450.1:22334203-22351437	locus628
NC_053452.1:2251078-2259878	locus629
NC_053457.1:9528764-9550306	locus630
NC_053460.1:13566851-13581573	locus631
NC_053453.1:2248071-2258967	locus632
NC_053464.1:3021817-3038038	locus633
NC_053452.1:18936636-18952101	locus634
NC_053450.1:67641346-67661121	locus635
NC_053460.1:831516-846184	locus636
NC_053452.1:49180050-49200902	locus637
NC_053453.1:60670127-60684103	locus638
NC_053453.1:53573629-53583335	locus639
NC_053454.1:1217343-1272841	locus640
NC_053451.1:21243388-21255591	locus641
NC_053453.1:52252157-52261250	locus642
NC_053452.1:18874621-18882161	locus643
NC_053454.1:23365880-23376683	locus644
NC_053453.1:12653083-12672297	locus645
NC_053465.1:5244624-5253666	locus646
NC_053451.1:100851335-100870069	locus647
NC_053464.1:13643595-13657889	locus648
NC_053451.1:116079488-116092664	locus649
NC_053450.1:116575041-116587395	locus650
NC_053459.1:3090392-3102474	locus651
NC_053452.1:33498473-33509321	locus652
NC_053465.1:6842770-6854427	locus653
NC_053464.1:5781146-5795110	locus654
NC_053450.1:107515814-107533829	locus655
NC_053457.1:21759712-21771430	locus656
NC_053451.1:113883374-113891573	locus657
NC_053467.1:4516657-4529818	locus658
NC_053451.1:88476489-88487770	locus659
NC_053455.1:5703632-5721143	locus660
NC_053458.1:28932977-28950862	locus661
NC_053464.1:11699983-11714314	locus662
NC_053451.1:91159315-91193084	locus663
NC_053450.1:58483769-58516077	locus664
NC_053457.1:24453954-24463354	locus665
NC_053465.1:12664590-12679454	locus666
NC_053452.1:54163312-54175984	locus667
NC_053454.1:62370492-62388482	locus668
NC_053454.1:48916695-48934110	locus669
NC_053457.1:3124068-3139971	locus670
NC_053469.1:9787356-9796574	locus671
NC_053456.1:25590508-25603536	locus672
NC_053450.1:67061392-67079084	locus673
NC_053472.1:6055023-6070924	locus674
NC_053451.1:54032409-54047522	locus675
NC_053472.1:5596641-5609108	locus676
NC_053456.1:37187719-37199381	locus677
NC_053456.1:29808447-29825813	locus678
NC_053451.1:24577045-24594040	locus679
NC_053452.1:9577348-9591783	locus680
NC_053453.1:13230257-13247270	locus681
NC_053451.1:87335981-87344811	locus682
NC_053458.1:30677847-30691835	locus683
NC_053454.1:60763333-60772940	locus684
NC_053454.1:60333835-60343315	locus685
NC_053456.1:15387530-15403588	locus686
NC_053476.1:2254435-2267764	locus687
NC_053452.1:113870947-113885747	locus688
NC_053460.1:9151850-9165919	locus689
NC_053454.1:11149271-11165181	locus690
NC_053450.1:86578415-86592242	locus691
NC_053451.1:37933605-37952968	locus692
NC_053458.1:23467937-23486094	locus693
NC_053462.1:592057-609531	locus694
NC_053471.1:559463-573536	locus695
NC_053454.1:30980989-31011172	locus696
NC_053457.1:19856377-19868264	locus697
NC_053458.1:6185703-6197688	locus698
NC_053488.1:66822909-66974836	locus699
NC_053456.1:6820279-6832710	locus700
NC_053462.1:11438305-11450100	locus701
