NC_053463.1:2378415-2391189	locus1
NC_053451.1:106785490-106811986	locus180
NC_053452.1:76868980-76895240	locus181
NC_053459.1:6087055-6095003	locus182
NC_053456.1:21748896-21762782	locus183
NC_053451.1:5763695-5775816	locus184
NC_053457.1:5311328-5326465	locus185
NC_053454.1:61258038-61272570	locus186
NC_053457.1:29737265-29751234	locus187
NC_053452.1:103383396-103411701	locus188
NC_053467.1:8169282-8180103	locus189
NC_053450.1:91053280-91065416	locus190
NC_053472.1:6108524-6119649	locus191
NC_053452.1:92203172-92229478	locus192
NC_053453.1:74361247-74375645	locus193
NC_053451.1:53503448-53516940	locus194
NC_053460.1:4143385-4161702	locus195
NC_053451.1:55407325-55421055	locus196
NC_053456.1:11626957-11648555	locus197
NC_053457.1:32701985-32711172	locus198
NC_053463.1:5779218-5793463	locus199
NC_053467.1:11595014-11611010	locus200
NC_053451.1:95096415-95116240	locus201
NC_053459.1:22409058-22416251	locus202
NC_053461.1:13210718-13223352	locus203
NC_053454.1:31142085-31158421	locus204
NC_053475.1:1928615-1947361	locus205
NC_053456.1:5553302-5565092	locus206
NC_053460.1:16358688-16361563	locus207
NC_053466.1:2276315-2285844	locus208
NC_053455.1:3170260-3178938	locus209
NC_053450.1:73569878-73586380	locus210
NC_053452.1:47628259-47664461	locus211
NC_053453.1:57370946-57384103	locus212
NC_053460.1:5394806-5411278	locus213
NC_053469.1:1374125-1396857	locus214
NC_053450.1:152879741-152890242	locus215
NC_053458.1:12141922-12153849	locus216
NC_053452.1:28098900-28115443	locus217
NC_053453.1:45206049-45270569	locus218
NC_053455.1:57017863-57025262	locus219
NC_053476.1:3075767-3087405	locus220
NC_053458.1:29236086-29251802	locus221
NC_053451.1:111164859-111175990	locus222
NC_053456.1:33789801-33807114	locus223
NC_053470.1:2017375-2028669	locus224
NC_053463.1:10782401-10795175	locus225
NC_053456.1:842055-856687	locus226
NC_053451.1:49357188-49371943	locus227
NC_053450.1:111810066-111823912	locus228
NC_053473.1:6698058-6718780	locus229
NC_053466.1:10215859-10233555	locus230
NC_053475.1:1011064-1027822	locus231
NC_053453.1:1282346-1295428	locus232
NC_053452.1:43150935-43162170	locus233
NC_053452.1:72761447-72784929	locus234
NC_053452.1:12513155-12528880	locus235
NC_053451.1:85610600-85623491	locus236
NC_053462.1:2788786-2808446	locus237
NC_053458.1:11155259-11171369	locus238
NC_053450.1:63465225-63481013	locus239
NC_053461.1:5369581-5385577	locus240
NC_053461.1:17984026-17995659	locus241
NC_053450.1:19726815-19737791	locus242
NC_053451.1:109443944-109469921	locus243
NC_053451.1:96779024-96806590	locus244
NC_053460.1:7809313-7820418	locus245
NC_053457.1:26954005-26961110	locus246
NC_053464.1:2620091-2632055	locus247
NC_053451.1:111660121-111676363	locus248
NC_053452.1:74715220-74742057	locus249
NC_053453.1:36094276-36111259	locus250
NC_053450.1:14155217-14199357	locus251
NC_053450.1:63812414-63836961	locus252
NC_053451.1:114030209-114047658	locus253
NC_053453.1:62821099-62848485	locus254
NC_053467.1:2646851-2656655	locus255
NC_053450.1:86188784-86199091	locus256
NC_053453.1:60313314-60327195	locus257
NC_053453.1:2746165-2759449	locus258
NC_053453.1:21648250-21666271	locus259
NC_053451.1:31071991-31085056	locus260
NC_053450.1:35880980-35897331	locus261
NC_053450.1:4309823-4365912	locus262
NC_053471.1:2686776-2700254	locus263
NC_053450.1:122176423-122195385	locus264
NC_053462.1:13947537-13960525	locus265
NC_053473.1:1124004-1135093	locus266
NC_053453.1:58178912-58197469	locus267
NC_053458.1:24472606-24481871	locus268
NC_053450.1:66469113-66486569	locus269
NC_053460.1:4264632-4275574	locus270
NC_053451.1:13561988-13579207	locus271
NC_053452.1:71159448-71178145	locus272
NC_053456.1:9105787-9121221	locus273
NC_053454.1:23934694-23972935	locus274
NC_053450.1:44082621-44108240	locus275
NC_053450.1:154244138-154254033	locus276
NC_053454.1:49992077-50008988	locus277
NC_053456.1:4235972-4253517	locus278
NC_053454.1:61863997-61875480	locus279
NC_053462.1:15444339-15461211	locus280
NC_053450.1:92704214-92714925	locus281
NC_053455.1:23626827-23642120	locus282
NC_053450.1:76133425-76150169	locus283
NC_053473.1:1863909-1893076	locus284
NC_053454.1:58461394-58479984	locus285
NC_053454.1:72099326-72107940	locus286
NC_053457.1:18909765-18920771	locus287
NC_053450.1:118060441-118082844	locus288
NC_053455.1:9701543-9718063	locus289
NC_053450.1:106475340-106491515	locus290
NC_053450.1:66595667-66610796	locus291
NC_053472.1:2077715-2090068	locus292
NC_053452.1:62871028-62892312	locus293
NC_053451.1:88229777-88248310	locus294
NC_053452.1:3661585-3673224	locus295
NC_053465.1:12705643-12719461	locus296
NC_053453.1:49479001-49491095	locus297
NC_053452.1:18528898-18551261	locus298
NC_053450.1:66434500-66448425	locus299
NC_053452.1:2825816-2833173	locus300
NC_053463.1:5256850-5265581	locus301
NC_053456.1:10508996-10523270	locus302
NC_053452.1:43699067-43707029	locus303
NC_053456.1:8242814-8252865	locus304
NC_053462.1:8219381-8230401	locus305
NC_053457.1:2006871-2029187	locus306
NC_053453.1:37950106-37983669	locus307
NC_053455.1:51757701-51767285	locus308
NC_053457.1:17725745-17734674	locus309
NC_053453.1:13268568-13288619	locus310
NC_053452.1:3354325-3364319	locus311
NC_053450.1:120661247-120681499	locus312
NC_053453.1:821197-836746	locus313
NC_053454.1:1277509-1299097	locus314
NC_053451.1:30676540-30687970	locus315
NC_053450.1:63505426-63531594	locus316
NC_053469.1:9193136-9203887	locus317
NC_053464.1:8333123-8344207	locus318
NC_053455.1:20920266-20948186	locus319
NC_053458.1:1861520-1874085	locus320
NC_053458.1:17801270-17819560	locus321
NC_053455.1:8632658-8644608	locus322
NC_053455.1:10871156-10891617	locus323
NC_053454.1:37311677-37323933	locus324
NC_053466.1:9745929-9756156	locus325
NC_053455.1:34751876-34892772	locus326
NC_053454.1:45134760-45146062	locus327
NC_053453.1:3707229-3716349	locus328
NC_053454.1:35436638-35461121	locus329
NC_053457.1:32557424-32565696	locus330
NC_053454.1:55134977-55150575	locus331
NC_053450.1:17574282-17603406	locus332
NC_053455.1:44582949-44596758	locus333
NC_053450.1:111593940-111601853	locus334
NC_053451.1:82343299-82368448	locus335
NC_053452.1:21990681-22010286	locus336
NC_053458.1:5711269-5722237	locus337
NC_053456.1:32818619-32829970	locus338
NC_053467.1:10090171-10103807	locus339
NC_053450.1:141037582-141048034	locus340
NC_053459.1:24506490-24518346	locus341
NC_053463.1:16205201-16220800	locus342
NC_053462.1:4836010-4856924	locus343
NC_053451.1:48275479-48284248	locus344
NC_053466.1:7091226-7110316	locus345
NC_053450.1:123776373-123786291	locus346
NC_053452.1:71428904-71450500	locus347
NC_053450.1:2472357-2494881	locus348
NC_053453.1:9931820-9967584	locus349
NC_053450.1:62142381-62150586	locus350
NC_053451.1:22207063-22221512	locus351
NC_053454.1:3788237-3808480	locus352
NC_053451.1:24293172-24302597	locus353
NC_053459.1:5878372-5886656	locus354
NC_053459.1:14504393-14519586	locus355
NC_053451.1:35955450-35974190	locus356
NC_053450.1:45795244-45818037	locus357
NC_053469.1:2145670-2155436	locus358
NC_053460.1:7957794-7973122	locus359
NC_053469.1:520652-541587	locus360
NC_053474.1:565694-606989	locus361
NC_053450.1:152186396-152204396	locus362
NC_053457.1:24844901-24859492	locus363
NC_053488.1:13123328-13159977	locus364
NC_053452.1:75397400-75405996	locus365
NC_053461.1:6260238-6274476	locus366
NC_053452.1:1372062-1378662	locus367
NC_053451.1:60765314-60804519	locus368
NC_053451.1:80089727-80121033	locus369
NC_053455.1:10481800-10505154	locus370
NC_053454.1:58861339-58887680	locus371
NC_053464.1:9151622-9164871	locus372
NC_053455.1:5325893-5340861	locus373
NC_053452.1:8928134-8939457	locus374
NC_053488.1:74404689-74464019	locus375
NC_053453.1:62432634-62445830	locus376
NC_053454.1:49849964-49867938	locus377
NC_053468.1:5228742-5240310	locus378
NC_053451.1:34379720-34399465	locus379
NC_053452.1:115566334-115581478	locus380
NC_053457.1:25051748-25059099	locus381
NC_053450.1:141549521-141567542	locus382
NC_053451.1:36117653-36131315	locus383
NC_053469.1:10470039-10480995	locus384
NC_053470.1:7049202-7057291	locus385
NC_053450.1:40665313-40683894	locus386
NC_053451.1:23593152-23617322	locus387
NC_053455.1:14252656-14282218	locus388
NC_053464.1:15309601-15323278	locus389
NC_053457.1:26676954-26689240	locus390
NC_053454.1:55702537-55713260	locus391
NC_053463.1:8080926-8095208	locus392
NC_053454.1:37295377-37305258	locus393
NC_053463.1:10833995-10851264	locus394
NC_053461.1:3152454-3159950	locus395
NC_053454.1:53941125-53949392	locus396
NC_053452.1:4878646-4888834	locus397
NC_053452.1:6889323-6906823	locus398
NC_053451.1:52545825-52558964	locus399
NC_053456.1:28378177-28392877	locus400
NC_053456.1:29348399-29370583	locus401
NC_053464.1:13826734-13839689	locus402
NC_053470.1:4460719-4476119	locus403
NC_053453.1:34847805-34869068	locus404
NC_053450.1:44620087-44636547	locus405
NC_053453.1:59219292-59228777	locus406
NC_053458.1:7622093-7644456	locus407
NC_053451.1:49071716-49081057	locus408
NC_053450.1:64967939-64991470	locus409
NC_053451.1:21246181-21257044	locus410
NC_053453.1:67516254-67530397	locus411
NC_053456.1:20995928-21017052	locus412
NC_053484.1:219212-230993	locus413
NC_053454.1:55697720-55711162	locus414
NC_053451.1:41896721-41912121	locus415
NC_053469.1:9604974-9614310	locus416
NC_053466.1:2089825-2101489	locus417
NC_053455.1:48058378-48072004	locus418
NC_053461.1:15255218-15267738	locus419
NC_053465.1:10748134-10755821	locus420
NC_053453.1:38989667-39035826	locus421
NC_053459.1:22135516-22155162	locus422
NC_053465.1:8634227-8643859	locus423
NC_053456.1:14822433-14840997	locus424
NC_053455.1:60407500-60417761	locus425
NC_053488.1:78128365-78224850	locus426
NC_053454.1:35005802-35033022	locus427
NC_053459.1:2693419-2705866	locus428
NC_053451.1:19118643-19126810	locus429
NC_053451.1:48545893-48558460	locus430
NC_053453.1:1459499-1473411	locus431
NC_053451.1:91727487-91742660	locus432
NC_053463.1:16348487-16360879	locus433
NC_053452.1:636277-645148	locus434
NC_053453.1:74328332-74339646	locus435
NC_053450.1:149035200-149050521	locus436
NC_053465.1:2244116-2254511	locus437
NC_053453.1:36722-82005	locus438
NC_053452.1:2321479-2331719	locus439
NC_053451.1:77687862-77707764	locus440
NC_053451.1:108147492-108161806	locus441
NC_053453.1:73608182-73617392	locus442
NC_053453.1:16860324-16911176	locus443
NC_053452.1:4810089-4818893	locus444
NC_053451.1:112129338-112141679	locus445
NC_053450.1:87076979-87092102	locus446
NC_053451.1:45382479-45394814	locus447
NC_053453.1:60400231-60415689	locus448
NC_053455.1:1605320-1617939	locus449
NC_053454.1:23828912-23840729	locus450
NC_053463.1:7971682-7989647	locus451
NC_053455.1:31723652-31732921	locus452
NC_053453.1:1923115-1930929	locus453
NC_053451.1:18789371-18805063	locus454
NC_053454.1:32693533-32714107	locus455
NC_053454.1:28373618-28425002	locus456
NC_053469.1:2462731-2475468	locus457
NC_053453.1:35929078-35946253	locus458
NC_053452.1:105808860-105839274	locus459
NC_053450.1:60302057-60316203	locus460
NC_053473.1:5092218-5102935	locus461
NC_053455.1:58028631-58042435	locus462
NC_053454.1:35632468-35648066	locus463
NC_053488.1:70472641-70532709	locus464
NC_053461.1:13505153-13516719	locus465
NC_053451.1:115424433-115443582	locus466
NC_053455.1:18564333-18608796	locus467
NC_053458.1:13270753-13293959	locus468
NC_053452.1:101736459-101749904	locus469
NC_053458.1:11066510-11078095	locus470
NC_053456.1:34445166-34461428	locus471
NC_053456.1:5854624-5868897	locus472
NC_053458.1:17697362-17714766	locus473
NC_053450.1:44408679-44420727	locus474
NC_053458.1:24735113-24748201	locus475
NC_053456.1:22523522-22535762	locus476
NC_053454.1:57619799-57627485	locus477
NC_053454.1:43633937-43651044	locus478
NC_053456.1:1788289-1794783	locus479
NC_053457.1:17078331-17098920	locus480
NC_053465.1:8875347-8887233	locus481
NC_053453.1:38219991-38268603	locus482
NC_053451.1:92001112-92011747	locus483
NC_053459.1:22563409-22571593	locus484
NC_053459.1:5360331-5369990	locus485
NC_053463.1:640906-648603	locus486
NC_053457.1:34424683-34440974	locus487
NC_053451.1:2643404-2663204	locus488
NC_053463.1:15363111-15379729	locus489
NC_053488.1:86926014-86999613	locus490
NC_053471.1:6616805-6634865	locus491
NC_053457.1:29377029-29390743	locus492
NC_053451.1:12792782-12821022	locus493
NC_053451.1:60288191-60323495	locus494
NC_053451.1:36349586-36364976	locus495
NC_053468.1:8309332-8321620	locus496
NC_053450.1:131904485-131921429	locus497
NC_053468.1:9779436-9794297	locus498
NC_053450.1:7113842-7148194	locus499
NC_053450.1:104743446-104765311	locus500
NC_053453.1:68371716-68388364	locus501
NC_053454.1:30775572-30817029	locus502
NC_053465.1:9308052-9316048	locus503
NC_053451.1:28668786-28679300	locus504
NC_053488.1:1291049-1321298	locus505
NC_053450.1:29114036-29134582	locus506
NC_053464.1:5131751-5142856	locus507
NC_053459.1:22407398-22415502	locus508
NC_053453.1:22543782-22557385	locus509
NC_053472.1:3794608-3807559	locus510
NC_053457.1:25184755-25200510	locus511
NC_053459.1:4883847-4893402	locus512
NC_053462.1:19541836-19558636	locus513
NC_053451.1:118421633-118449145	locus514
NC_053452.1:3605872-3617135	locus515
NC_053477.1:1729357-1749913	locus516
NC_053488.1:19448269-19492129	locus517
NC_053458.1:14882339-14902264	locus518
NC_053455.1:13135232-13168787	locus519
NC_053456.1:35851443-35863973	locus520
NC_053450.1:78902943-78931719	locus521
NC_053450.1:126681984-126705601	locus522
NC_053454.1:29323068-29355679	locus523
NC_053471.1:5138025-5148264	locus524
NC_053467.1:1744019-1755040	locus525
NC_053462.1:3064685-3076981	locus526
NC_053455.1:1702137-1711785	locus527
NC_053450.1:52655532-52665316	locus528
NC_053455.1:907807-921509	locus529
NC_053451.1:67520530-67534731	locus530
NC_053458.1:25902708-25925954	locus531
NC_053451.1:58331860-58350802	locus532
NC_053453.1:3621702-3638121	locus533
NC_053450.1:33216716-33239975	locus534
NC_053451.1:25001992-25015497	locus535
NC_053455.1:28220453-28232607	locus536
NC_053450.1:59581515-59618111	locus537
NC_053453.1:6903408-6914781	locus538
NC_053460.1:20950830-20962533	locus539
NC_053452.1:40918618-40929703	locus540
NC_053466.1:13423439-13433879	locus541
NC_053454.1:396912-411216	locus542
NC_053452.1:29275857-29291464	locus543
NC_053455.1:22816019-22828523	locus544
NC_053451.1:25358399-25371975	locus545
NC_053461.1:18660596-18675068	locus546
NC_053450.1:48736538-48750565	locus547
NC_053454.1:8420899-8434240	locus548
NC_053457.1:24633725-24646360	locus549
NC_053469.1:4399419-4410748	locus550
NC_053451.1:3179468-3190429	locus551
NC_053451.1:34661524-34679980	locus552
NC_053453.1:70346688-70363129	locus553
NC_053457.1:13695011-13725609	locus554
NC_053457.1:15628761-15645059	locus555
NC_053465.1:827645-842339	locus556
NC_053461.1:7349077-7363213	locus557
NC_053454.1:9819242-9840850	locus558
NC_053454.1:10966958-10986879	locus559
NC_053463.1:10888522-10903910	locus560
NC_053451.1:94501163-94525201	locus561
NC_053473.1:3458216-3467397	locus562
NC_053452.1:20290367-20306794	locus563
NC_053454.1:9419217-9442908	locus564
NC_053454.1:22756650-22771181	locus565
NC_053457.1:34530746-34546081	locus566
NC_053463.1:1762572-1771412	locus567
NC_053453.1:71161418-71170253	locus568
NC_053454.1:2631635-2648397	locus569
NC_053456.1:35491670-35499416	locus570
NC_053455.1:28094937-28108959	locus571
NC_053460.1:10847303-10863020	locus572
NC_053450.1:154471662-154481833	locus573
NC_053452.1:35056621-35065986	locus574
NC_053460.1:10786998-10813910	locus575
NC_053450.1:91949916-91970421	locus576
NC_053488.1:10611151-10664708	locus577
NC_053454.1:56080575-56088700	locus578
NC_053451.1:104859032-104874602	locus579
NC_053452.1:30566012-30585778	locus580
NC_053454.1:71243725-71255592	locus581
NC_053457.1:9723336-9733586	locus582
NC_053452.1:32423240-32438948	locus583
NC_053462.1:13215005-13228404	locus584
NC_053451.1:109677435-109699534	locus585
NC_053451.1:42607668-42632824	locus586
NC_053450.1:47692522-47709763	locus587
NC_053450.1:150276186-150286593	locus588
NC_053470.1:7446810-7456621	locus589
NC_053455.1:55531133-55539378	locus590
NC_053469.1:3848973-3862557	locus591
NC_053455.1:58344846-58353113	locus592
NC_053454.1:59957512-59966682	locus593
NC_053488.1:72061936-72109696	locus594
NC_053468.1:6584370-6601794	locus595
NC_053453.1:21348492-21363958	locus596
NC_053451.1:33353703-33376152	locus597
NC_053461.1:16585756-16602966	locus598
NC_053459.1:11258277-11276597	locus599
NC_053452.1:58646899-58655821	locus600
NC_053458.1:3849706-3863344	locus601
NC_053454.1:55989743-56001610	locus602
NC_053470.1:8978349-9008323	locus603
NC_053469.1:9930588-9945666	locus604
NC_053450.1:139440391-139455634	locus605
NC_053457.1:35885355-35998079	locus606
NC_053450.1:122674733-122688897	locus607
NC_053466.1:12826795-12836338	locus608
NC_053451.1:19456247-19472424	locus609
NC_053472.1:865343-877136	locus610
NC_053454.1:61802121-61810908	locus611
NC_053450.1:52867376-52877381	locus612
NC_053456.1:18486568-18517549	locus613
NC_053476.1:2539572-2550074	locus614
NC_053452.1:36566526-36576761	locus615
NC_053454.1:38043783-38059006	locus616
NC_053454.1:72908753-72921446	locus617
NC_053450.1:129217072-129243801	locus618
NC_053458.1:9374433-9385385	locus619
NC_053474.1:511633-532964	locus620
NC_053458.1:23581449-23593475	locus621
NC_053451.1:114543436-114551702	locus622
NC_053466.1:13098036-13107422	locus623
NC_053453.1:15740490-15798913	locus624
NC_053454.1:37641799-37660350	locus625
NC_053453.1:14667388-14694093	locus626
NC_053458.1:24405314-24419234	locus627
NC_053475.1:5093240-5112497	locus628
NC_053450.1:137745619-137770493	locus629
NC_053452.1:27033150-27056086	locus630
NC_053451.1:28930760-28953691	locus631
NC_053468.1:1902786-1920071	locus632
NC_053451.1:54699617-54722996	locus633
NC_053454.1:14598242-14620124	locus634
NC_053470.1:1300917-1311402	locus635
NC_053455.1:57171553-57180923	locus636
NC_053450.1:2052330-2074263	locus637
NC_053451.1:84653703-84673354	locus638
NC_053451.1:77949298-77965180	locus639
NC_053453.1:25876824-25931457	locus640
NC_053450.1:142557603-142577559	locus641
NC_053452.1:70857564-70875471	locus642
NC_053450.1:9069035-9094654	locus643
NC_053450.1:51757305-51770952	locus644
NC_053457.1:31816895-31832263	locus645
NC_053466.1:4369637-4380748	locus646
NC_053463.1:14267063-14279662	locus647
NC_053450.1:45725048-45745273	locus648
NC_053455.1:14947353-14972692	locus649
NC_053452.1:72164206-72179302	locus650
NC_053474.1:4413880-4425862	locus651
NC_053454.1:2782450-2792167	locus652
NC_053453.1:29780027-29806607	locus653
NC_053450.1:102989982-103019933	locus654
NC_053465.1:12184390-12197524	locus655
NC_053461.1:6948920-6961335	locus656
NC_053452.1:94864140-94911464	locus657
NC_053453.1:47650287-47667275	locus658
NC_053450.1:109528260-109542088	locus659
NC_053466.1:6627159-6641967	locus660
NC_053468.1:9253497-9266268	locus661
NC_053463.1:12826581-12844091	locus662
NC_053453.1:64082384-64097326	locus663
NC_053466.1:327218-337409	locus664
NC_053452.1:24180991-24199524	locus665
NC_053454.1:28702571-28760799	locus666
NC_053453.1:9332490-9365398	locus667
NC_053454.1:61523113-61534667	locus668
NC_053450.1:9990361-10026277	locus669
NC_053457.1:12623014-12640019	locus670
NC_053457.1:15965642-15982092	locus671
NC_053450.1:69343122-69402822	locus672
NC_053453.1:2118098-2131541	locus673
NC_053457.1:30439737-30452982	locus674
NC_053451.1:23448706-23471222	locus675
NC_053458.1:29337236-29348443	locus676
NC_053462.1:17832753-17844783	locus677
NC_053451.1:100006190-100026677	locus678
NC_053464.1:8506082-8520975	locus679
NC_053468.1:6476462-6489835	locus680
NC_053455.1:5947844-5963730	locus681
NC_053454.1:59993367-60009229	locus682
NC_053454.1:64951290-64967514	locus683
NC_053450.1:73960651-73974459	locus684
NC_053452.1:60447147-60463855	locus685
NC_053450.1:106112583-106127435	locus686
NC_053462.1:13651053-13667872	locus687
NC_053457.1:30679086-30696860	locus688
NC_053455.1:5677600-5689792	locus689
NC_053464.1:4644297-4660378	locus690
NC_053460.1:7216667-7228063	locus691
NC_053455.1:60871212-60892420	locus692
NC_053450.1:27062011-27084142	locus693
NC_053462.1:7590755-7604537	locus694
NC_053456.1:7830875-7848201	locus695
NC_053452.1:101107145-101133996	locus696
NC_053463.1:2336440-2355700	locus697
NC_053462.1:13443578-13459005	locus698
NC_053450.1:149690273-149703327	locus699
NC_053469.1:10470870-10481718	locus700
